variable,count,mean,median,std,variance,min,q1,q3,max,iqr
total_order_count,30,3.466666666666667,3.5,2.3741907272153604,5.636781609195402,0.0,2.0,5.0,9.0,3.0
paid_order_count,30,2.8666666666666667,2.5,2.4173700918393815,5.8436781609195405,0.0,1.0,4.0,9.0,3.0
cancelled_order_count,30,0.6,0.0,1.069966161243848,1.1448275862068964,0.0,0.0,1.0,4.0,1.0
paid_rate,30,68.02333333333334,92.85,40.11279513239302,1609.036333333333,0.0,27.075,100.0,100.0,72.925
active_period_days,24,134.5,132.0,54.62600113499065,2984.0,36.0,92.0,180.0,223.0,88.0
avg_days_between_orders,24,45.375,43.0,13.202313697095738,174.30108695652174,24.5,38.474999999999994,54.474999999999994,69.0,16.0
recency_days,25,34.88,13.0,45.40770859666892,2061.86,0.0,5.0,46.0,166.0,41.0
